=== Варіант 1 ===
t	F(t)
0.00	0.000063
5.00	0.000057
10.00	0.000052
15.00	0.000048
20.00	0.000045
25.00	0.000041
30.00	0.000042
35.00	0.000042
40.00	0.000042
45.00	0.000041
50.00	0.000040
55.00	0.000039
60.00	0.000039
65.00	0.000038
70.00	0.000038
75.00	0.000038
80.00	0.000038
85.00	0.000038
90.00	0.000039
95.00	0.000039
100.00	0.000040

=== Варіант 2 ===
t	F(t)
0.00	0.000121
5.00	0.000110
10.00	0.000101
15.00	0.000093
20.00	0.000086
25.00	0.000079
30.00	0.000080
35.00	0.000080
40.00	0.000080
45.00	0.000079
50.00	0.000077
55.00	0.000076
60.00	0.000074
65.00	0.000073
70.00	0.000073
75.00	0.000073
80.00	0.000073
85.00	0.000073
90.00	0.000074
95.00	0.000076
100.00	0.000077

=== Варіант 3 ===
t	F(t)
0.00	0.000763
5.00	0.000694
10.00	0.000637
15.00	0.000587
20.00	0.000542
25.00	0.000502
30.00	0.000505
35.00	0.000507
40.00	0.000505
45.00	0.000497
50.00	0.000489
55.00	0.000479
60.00	0.000470
65.00	0.000465
70.00	0.000465
75.00	0.000465
80.00	0.000465
85.00	0.000465
90.00	0.000470
95.00	0.000479
100.00	0.000489

